epoch,train_loss,val_acc,val_f1
1,1.0227387557427088,0.8315217391304348,0.8047773475593012
2,0.7656414757172266,0.9021739130434783,0.8781573491715844
3,0.661827603313658,0.8586956521739131,0.8401528415897578
4,0.6081173439820607,0.7336956521739131,0.6866517534192327
5,0.5216154863437017,0.8695652173913043,0.8538678705311354
6,0.5685292482376099,0.8804347826086957,0.8674945819666666
7,0.4292648451195823,0.907608695652174,0.8961509497451852
8,0.4248213440179825,0.8967391304347826,0.8859777895806363
9,0.4731878803835975,0.7608695652173914,0.6935796081945278
10,0.5082552280690935,0.907608695652174,0.8946637895590912
