epoch,train_loss,val_acc,val_f1
1,1.000976,0.522222,0.686131
2,0.692937,0.477778,0.000000
3,0.786936,0.572222,0.352941
4,0.616769,0.688889,0.636364
5,0.615616,0.788889,0.800000
6,0.613425,0.711111,0.754717
7,0.582634,0.772222,0.778378
8,0.570864,0.511111,0.153846
9,0.557463,0.677778,0.736364
10,0.515896,0.733333,0.755102
