epoch,train_loss,val_acc,val_f1
1,0.777460,0.477778,0.000000
2,0.733332,0.477778,0.000000
3,0.701109,0.522222,0.686131
4,0.692800,0.522222,0.686131
5,0.741742,0.522222,0.686131
6,0.692589,0.522222,0.686131
7,0.693231,0.522222,0.686131
8,0.688209,0.522222,0.686131
9,0.690324,0.522222,0.686131
10,0.687957,0.522222,0.686131
