epoch,train_loss,val_acc,val_f1
1,0.777648,0.477778,0.000000
2,0.701351,0.522222,0.686131
3,0.699609,0.522222,0.686131
4,0.703037,0.522222,0.686131
5,0.705928,0.522222,0.686131
6,0.691639,0.522222,0.686131
7,0.690399,0.477778,0.000000
8,0.698961,0.522222,0.686131
9,0.691420,0.522222,0.686131
10,0.693695,0.522222,0.686131
