tag,n_val,iou_mean,iou_std
O1_A,180,0.25662940740585327,0.15386931598186493
O1_B,180,0.2311464101076126,0.06727371364831924
O1_C1,180,0.5800579786300659,0.10601682215929031
O1_C2,180,0.005797759164124727,0.019768428057432175
O2,180,0.4623679220676422,0.09195533394813538
O3,180,0.27205780148506165,0.12194029241800308
O5,180,0.32675763964653015,0.1946352869272232
