epoch,train_loss,val_acc,val_f1
1,0.786179,0.477778,0.000000
2,0.707149,0.511111,0.120000
3,0.695126,0.522222,0.686131
4,0.711201,0.522222,0.686131
5,0.701687,0.522222,0.686131
6,0.699329,0.522222,0.686131
7,0.689197,0.522222,0.686131
8,0.693742,0.483333,0.021053
9,0.695653,0.522222,0.686131
10,0.690344,0.522222,0.686131
