epoch,train_loss,val_acc,val_f1
1,1.112166,0.522222,0.686131
2,0.871809,0.711111,0.750000
3,0.746326,0.644444,0.724138
4,0.657508,0.677778,0.736364
5,0.595479,0.572222,0.709434
6,0.554283,0.733333,0.764706
7,0.546094,0.755556,0.741176
8,0.589873,0.755556,0.738095
9,0.525451,0.633333,0.521739
10,0.566245,0.744444,0.770000
